"name","Population","Parent","Count","ParentCount","sampleName","well","vol"
"F01.fcs","/Singlets","root",69404,69404,"F01.fcs","Rpom_full_cold_1_9","25074"
"F02.fcs","/Singlets","root",67897,67897,"F02.fcs","Rpom_full_cold_2_9","25051"
"F03.fcs","/Singlets","root",75566,75566,"F03.fcs","Rpom_full_cold_3_9","25030"
"F04.fcs","/Singlets","root",192995,192995,"F04.fcs","Amac_full_cold_1_9","25165"
"F05.fcs","/Singlets","root",198221,198221,"F05.fcs","Amac_full_cold_2_9","25049"
"F06.fcs","/Singlets","root",192727,192727,"F06.fcs","Amac_full_cold_3_9","25038"
"F07.fcs","/Singlets","root",110409,110409,"F07.fcs","Rpom_noB12_cold_1_9","25053"
"F08.fcs","/Singlets","root",108946,108946,"F08.fcs","Rpom_noB12_cold_2_9","25044"
"F09.fcs","/Singlets","root",123746,123746,"F09.fcs","Rpom_noB12_cold_3_9","25049"
"F10.fcs","/Singlets","root",268075,268075,"F10.fcs","Amac_noB12_cold_1_9","25057"
"F11.fcs","/Singlets","root",300744,300744,"F11.fcs","Amac_noB12_cold_2_9","25109"
"F12.fcs","/Singlets","root",305459,305459,"F12.fcs","Amac_noB12_cold_3_9","25106"
"G01.fcs","/Singlets","root",711605,711605,"G01.fcs","Rpom_full_med_1_9","25113"
"G02.fcs","/Singlets","root",727649,727649,"G02.fcs","Rpom_full_med_2_9","25106"
"G03.fcs","/Singlets","root",959794,959794,"G03.fcs","Rpom_full_med_3_9","25004"
"G04.fcs","/Singlets","root",860083,860083,"G04.fcs","Amac_full_med_1_9","25107"
"G05.fcs","/Singlets","root",878094,878094,"G05.fcs","Amac_full_med_2_9","25095"
"G06.fcs","/Singlets","root",848723,848723,"G06.fcs","Amac_full_med_3_9","25052"
"G07.fcs","/Singlets","root",610963,610963,"G07.fcs","Rpom_noB12_med_1_9","25032"
"G08.fcs","/Singlets","root",671449,671449,"G08.fcs","Rpom_noB12_med_2_9","25107"
"G09.fcs","/Singlets","root",594251,594251,"G09.fcs","Rpom_noB12_med_3_9","25049"
"G10.fcs","/Singlets","root",831244,831244,"G10.fcs","Amac_noB12_med_1_9","25101"
"G11.fcs","/Singlets","root",830680,830680,"G11.fcs","Amac_noB12_med_2_9","25095"
"G12.fcs","/Singlets","root",835794,835794,"G12.fcs","Amac_noB12_med_3_9","25109"
"H01.fcs","/Singlets","root",930666,930666,"H01.fcs","Rpom_full_hot_1_9","25103"
"H02.fcs","/Singlets","root",921788,921788,"H02.fcs","Rpom_full_hot_2_9","25047"
"H03.fcs","/Singlets","root",664447,664447,"H03.fcs","Rpom_full_hot_3_9","25100"
"H04.fcs","/Singlets","root",881358,881358,"H04.fcs","Amac_full_hot_1_9","25042"
"H05.fcs","/Singlets","root",992043,992043,"H05.fcs","Amac_full_hot_2_9","23380"
"H06.fcs","/Singlets","root",987953,987953,"H06.fcs","Amac_full_hot_3_9","24756"
"H07.fcs","/Singlets","root",966938,966938,"H07.fcs","Rpom_noB12_hot_1_9","25103"
"H08.fcs","/Singlets","root",970583,970583,"H08.fcs","Rpom_noB12_hot_2_9","25094"
"H09.fcs","/Singlets","root",976312,976312,"H09.fcs","Rpom_noB12_hot_3_9","25093"
"H10.fcs","/Singlets","root",708188,708188,"H10.fcs","Amac_noB12_hot_1_9","25089"
"H11.fcs","/Singlets","root",728843,728843,"H11.fcs","Amac_noB12_hot_2_9","25091"
"H12.fcs","/Singlets","root",762174,762174,"H12.fcs","Amac_noB12_hot_3_9","25106"
